0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.28442,0.47061,2.24E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.2,0.5,0.5,0.5,0.5,0.28442,0.47061,2.23E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.2,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.5,0.28442,0.47061,2.23E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.28442,0.47061,2.23E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.28442,0.47061,2.22E-14,0.57362,0.82837,0.23839,0.28632,0.11473
